date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus
2020-01-21,2,0,0,9,85,54,95,39,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
2020-01-22,4,0,0,8,84,55,92,45,90,32,0,15,0,1,0,0,47,0,30,63,0,0,0,0,1,0,1
2020-01-23,5,0,0,8,74,57,90,53,88,30,0,21,0,2,0,0,47,0,35,61,0,0,0,0,2,0,3
2020-01-24,8,0,0,9,77,55,91,64,91,30,0,32,0,2,1,0,36,0,45,62,0,0,0,0,4,0,4
2020-01-25,10,0,0,8,76,51,73,67,83,28,0,29,0,3,2,0,27,1,39,62,0,0,0,0,9,0,3
2020-01-26,11,0,0,8,85,59,58,63,78,27,0,34,0,4,2,0,28,1,50,64,0,0,0,0,13,0,5
2020-01-27,11,0,0,8,79,65,92,62,86,30,0,31,0,4,3,0,54,1,62,62,0,0,0,0,15,0,5
2020-01-28,15,0,0,9,82,62,93,64,90,33,0,30,0,5,4,0,35,1,64,63,0,0,0,0,21,0,8
2020-01-29,14,0,0,8,79,61,88,66,86,32,0,34,0,4,4,0,44,2,72,61,0,0,0,0,24,0,7
2020-01-30,16,0,0,9,78,64,91,67,89,29,0,32,0,4,5,0,43,3,100,61,0,0,0,0,25,0,10
2020-01-31,17,0,0,9,80,60,89,65,89,35,0,32,0,4,6,0,45,3,92,62,0,0,0,0,27,0,13
2020-02-01,12,0,0,9,76,54,70,57,85,33,0,25,0,3,5,0,34,2,62,58,0,0,0,0,21,0,6
2020-02-02,10,0,0,9,88,56,61,57,83,28,0,25,0,4,4,0,24,2,66,60,0,0,0,0,20,0,7
2020-02-03,9,0,0,9,77,59,100,56,85,42,0,26,0,7,4,0,44,2,62,63,0,0,0,0,21,0,5
2020-02-04,8,0,0,15,82,60,94,50,88,33,0,21,0,5,4,0,46,2,55,65,0,0,0,0,18,0,5
